Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,,Latest Budget Changes,,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,
08/01/15 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,64325161.18,,-859315,,1255175.02,05/10/17,0,1014,
01/01/16 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,64255264.52,,-69897,,1255175.02,05/10/17,0,1014,
06/01/16 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,103885283,,39630018,,1255175.02,09/15/2017,128,1014,
11/01/16 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,64285939.2,,-39599344,,1255175.02,09/15/2017,0,1014,
04/01/17 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,68968085.2,,4682146,,1255175.02,09/15/2017,0,1014,
09/01/17 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,69595518.39,,627433,,1255175.02,02/19/2018,157,1014,
03/01/18 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,69595518.2,,0,,1255175.02,08/11/18,173,1014,
08/01/18 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,70722510.39,,1126992,,1255175.02,11/30/2018,111,1014,
01/01/19 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,70514312.29,,-208198,,1255175.02,09/13/2019,287,1014,
05/01/19 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,69271221.26,,-1243091,,1255175.02,12/10/19,88,1014,
09/01/19 00:00,18,Croton Falls Pumping Station Construction,This project will construct a new pumping station to replace a hydraulic pumping station.,Water Supply,Carmel,DEP,DEP,Construction,08/22/2003,67871610.02,,-1399611,,1255175.02,03/10/20,91,1014,
09/01/13 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,11/01/01,198134067,,,,25233101.11,08/05/14,,1974,
01/01/14 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,11/01/01,209034169,,10900102,,25233101.11,09/30/2014,56,1974,
05/01/14 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,11/01/01,205416231.7,,-3617937,,25233101.11,11/04/14,35,1974,
02/01/15 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,11/01/01,211461068.7,,6044837,,25233101.11,06/19/2015,227,1974,
08/01/15 00:00,25,Gowanus Facilities Upgrade,"This project will rehabilite the existing Flushing Tunnel, reconstruct and upgrade the Gowanus pumping station and install a temporary oxygenation system to increase the dissolved oxygen levels of the canal.",Wastewater Treatment,Brooklyn,DEP,DEP,Construction,12/21/2001,214798048.7,,3336980,,25233101.11,11/17/2015,151,1974,
